Make,Model,trim,mileage,reg_year,transmission_type,fuel_type,price
Volkswagen,Golf,1.4 TSI GTE 5dr DSG,40235,2020,Semiauto,Hybrid,"21,350"
Volkswagen,Golf,1.0 TSI Life 5dr,3837,2023,Manual,Petrol,"20,992"
Volkswagen,Golf,1.5 TSI 150 Style 5dr,7041,2023,Manual,Petrol,"24,295"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,21885,2021,Manual,Petrol,"18,392"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,6429,2023,Manual,Petrol,"21,592"
Volkswagen,Golf,1.5 TSI R-Line 5dr,11702,2021,Manual,Petrol,"21,392"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,3072,2023,Manual,Petrol,"21,895"
Volkswagen,Golf,1.5 TSI EVO 150 R-Line 5dr DSG,14604,2020,Semiauto,Petrol,"20,995"
Volkswagen,Golf,1.5 eTSI 150 Life 5dr DSG,21195,2020,Semiauto,Hybrid,"19,992"
Volkswagen,Golf,1.5 TSI EVO Match 5dr,33870,2019,Manual,Petrol,"15,495"
Vauxhall,Adam,1.0T ecoFLEX Rocks Air 3dr [Start Stop],85522,2016,Manual,Petrol,"5,995"
Ford,Fiesta,1.0 EcoBoost Zetec 3dr,21359,2017,Manual,Petrol,"8,995"
Fiat,500X,1.6 E-torQ Pop 5dr,18917,2016,Manual,Petrol,"8,995"
Honda,Civic,1.8 i-VTEC SE Plus 5dr,62575,2015,Manual,Petrol,"9,500"
Volkswagen,Golf,1.4 TSI S 5dr,82691,2018,Manual,Petrol,"9,995"
MINI,Hatchback,1.5 Cooper D 5dr,45115,2016,Manual,Diesel,"9,995"
BMW,2,Series 220d [190] M Sport 2dr,72991,2016,Manual,Diesel,"11,500"
Mercedes-Benz,A-Class,A180d Sport Executive 5dr Auto,38886,2016,Automatic,Diesel,"13,500"
MINI,Hatchback,1.5 Cooper 5dr Auto,28161,2017,Automatic,Petrol,"14,000"
Volkswagen,Passat,2.0 TDI GT 5dr DSG,48138,2016,Semiauto,Diesel,"15,995"
Volkswagen,Golf,1.4 TSI GTE 5dr DSG,40235,2020,Semiauto,Hybrid,"21,350"
Volkswagen,Golf,1.0 TSI Life 5dr,3837,2023,Manual,Petrol,"20,992"
Volkswagen,Golf,1.5 TSI 150 Style 5dr,7041,2023,Manual,Petrol,"24,295"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,21885,2021,Manual,Petrol,"18,392"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,6429,2023,Manual,Petrol,"21,592"
Volkswagen,Golf,1.5 TSI R-Line 5dr,11702,2021,Manual,Petrol,"21,392"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,3072,2023,Manual,Petrol,"21,895"
Volkswagen,Golf,1.5 TSI EVO 150 R-Line 5dr DSG,14604,2020,Semiauto,Petrol,"20,995"
Volkswagen,Golf,1.5 eTSI 150 Life 5dr DSG,21195,2020,Semiauto,Hybrid,"19,992"
Volkswagen,Golf,1.5 TSI EVO Match 5dr,33870,2019,Manual,Petrol,"15,495"
Vauxhall,Adam,1.0T ecoFLEX Rocks Air 3dr [Start Stop],85522,2016,Manual,Petrol,"5,995"
Ford,Fiesta,1.0 EcoBoost Zetec 3dr,21359,2017,Manual,Petrol,"8,995"
Fiat,500X,1.6 E-torQ Pop 5dr,18917,2016,Manual,Petrol,"8,995"
Honda,Civic,1.8 i-VTEC SE Plus 5dr,62575,2015,Manual,Petrol,"9,500"
Volkswagen,Golf,1.4 TSI S 5dr,82691,2018,Manual,Petrol,"9,995"
MINI,Hatchback,1.5 Cooper D 5dr,45115,2016,Manual,Diesel,"9,995"
BMW,2,Series 220d [190] M Sport 2dr,72991,2016,Manual,Diesel,"11,500"
Mercedes-Benz,A-Class,A180d Sport Executive 5dr Auto,38886,2016,Automatic,Diesel,"13,500"
MINI,Hatchback,1.5 Cooper 5dr Auto,28161,2017,Automatic,Petrol,"14,000"
Volkswagen,Passat,2.0 TDI GT 5dr DSG,48138,2016,Semiauto,Diesel,"15,995"
Volkswagen,Golf,1.4 TSI GTE 5dr DSG,40235,2020,Semiauto,Hybrid,"21,350"
Volkswagen,Golf,1.0 TSI Life 5dr,3837,2023,Manual,Petrol,"20,992"
Volkswagen,Golf,1.5 TSI 150 Style 5dr,7041,2023,Manual,Petrol,"24,295"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,21885,2021,Manual,Petrol,"18,392"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,6429,2023,Manual,Petrol,"21,592"
Volkswagen,Golf,1.5 TSI R-Line 5dr,11702,2021,Manual,Petrol,"21,392"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,3072,2023,Manual,Petrol,"21,895"
Volkswagen,Golf,1.5 TSI EVO 150 R-Line 5dr DSG,14604,2020,Semiauto,Petrol,"20,995"
Volkswagen,Golf,1.5 eTSI 150 Life 5dr DSG,21195,2020,Semiauto,Hybrid,"19,992"
Volkswagen,Golf,1.5 TSI EVO Match 5dr,33870,2019,Manual,Petrol,"15,495"
Vauxhall,Adam,1.0T ecoFLEX Rocks Air 3dr [Start Stop],85522,2016,Manual,Petrol,"5,995"
Ford,Fiesta,1.0 EcoBoost Zetec 3dr,21359,2017,Manual,Petrol,"8,995"
Fiat,500X,1.6 E-torQ Pop 5dr,18917,2016,Manual,Petrol,"8,995"
Honda,Civic,1.8 i-VTEC SE Plus 5dr,62575,2015,Manual,Petrol,"9,500"
Volkswagen,Golf,1.4 TSI S 5dr,82691,2018,Manual,Petrol,"9,995"
MINI,Hatchback,1.5 Cooper D 5dr,45115,2016,Manual,Diesel,"9,995"
BMW,2,Series 220d [190] M Sport 2dr,72991,2016,Manual,Diesel,"11,500"
Mercedes-Benz,A-Class,A180d Sport Executive 5dr Auto,38886,2016,Automatic,Diesel,"13,500"
MINI,Hatchback,1.5 Cooper 5dr Auto,28161,2017,Automatic,Petrol,"14,000"
Volkswagen,Passat,2.0 TDI GT 5dr DSG,48138,2016,Semiauto,Diesel,"15,995"
Volkswagen,Golf,1.4 TSI GTE 5dr DSG,40235,2020,Semiauto,Hybrid,"21,350"
Volkswagen,Golf,1.0 TSI Life 5dr,3837,2023,Manual,Petrol,"20,992"
Volkswagen,Golf,1.5 TSI 150 Style 5dr,7041,2023,Manual,Petrol,"24,295"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,21885,2021,Manual,Petrol,"18,392"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,6429,2023,Manual,Petrol,"21,592"
Volkswagen,Golf,1.5 TSI R-Line 5dr,11702,2021,Manual,Petrol,"21,392"
Volkswagen,Golf,1.5 TSI 150 Life 5dr,3072,2023,Manual,Petrol,"21,895"
