make,model,engine_size,trim,num_doors,mileage,reg_year,transmission_type,fuel_type,price
BMW,1 Series,1.5,116d Sport,2,"65,221 miles",2016 reg,Manual,Diesel,"£9,400"
BMW,1 Series,2.0,120d M Sport,2,"77,873 miles",2015 reg,Manual,Diesel,"£9,950"
BMW,1 Series,1.5,118i Sport,2,"57,371 miles",2016 reg,Manual,Petrol,"£10,050"
BMW,1 Series,2.0,118d M Sport,2,"71,342 miles",2016 reg,Manual,Diesel,"£10,450"
BMW,1 Series,1.5,118i M Sport,2,"77,767 miles",2017 reg,Manual,Petrol,"was £11,000£10,700"
BMW,1 Series,1.5,118i M Sport Shadow Edition,2,"40,565 miles",2019 reg,Manual,Petrol,"£14,900"
BMW,2 Series,1.5,218i Sport Auto,2,"68,551 miles",2016 reg,Auto,Petrol,"£11,500"
BMW,1 Series,1.5,116d M Sport,2,"40,044 miles",2016 reg,Manual,Diesel,"was £12,200£12,000"
BMW,2 Series,2.0,220d Sport Auto,2,"67,113 miles",2016 reg,Auto,Diesel,"£12,050"
BMW,1 Series,1.5,118i M Sport,2,"45,954 miles",2016 reg,Manual,Petrol,"£12,150"
BMW,1 Series,1.5,116d M Sport,2,"60,106 miles",2018 reg,Manual,Diesel,"£12,150"
BMW,2 Series,1.5,218i Sport Auto,2,"52,663 miles",2016 reg,Auto,Petrol,"£12,700"
BMW,1 Series,1.6,120i Sport Auto,2,"37,360 miles",2016 reg,Auto,Petrol,"£13,250"
BMW,1 Series,2.0,118d Sport,2,"29,395 miles",2018 reg,Manual,Diesel,"was £13,550£13,300"
BMW,2 Series,1.5,218i Sport Auto,2,"30,934 miles",2015 reg,Auto,Petrol,"£13,400"
BMW,2 Series,2.0,218i M Sport Auto,2,"14,411 miles",2021 reg,Auto,Petrol,"£19,600"
BMW,1 Series,1.5,118i Sport Auto,2,"36,599 miles",2018 reg,Auto,Petrol,"£13,800"
BMW,4 Series,2.0,420i M Sport Auto,2,"28,949 miles",2017 reg,Auto,Petrol,"£17,750"
BMW,4 Series,3.0,430d M Sport Auto,2,"88,216 miles",2016 reg,Auto,Diesel,"£13,850"
BMW,1 Series,2.0,118d M Sport Auto,2,"36,389 miles",2016 reg,Auto,Diesel,"was £14,450£14,200"
BMW,4 Series,2.0,420i M Sport Auto xDrive,2,"68,724 miles",2016 reg,Auto,Petrol,"£14,400"
BMW,2 Series,2.0,228i M Sport Auto,2,"55,000 miles",2016 reg,Auto,Petrol,"£14,500"
BMW,4 Series,2.0,420d M Sport,2,"58,207 miles",2017 reg,Manual,Diesel,"£14,700"
BMW,4 Series,2.0,420i M Sport Auto xDrive,2,"76,612 miles",2017 reg,Auto,Petrol,"£15,100"
BMW,4 Series,3.0,435d M Sport Auto xDrive,2,"84,615 miles",2018 reg,Auto,Diesel,"£19,450"
BMW,2 Series,3.0,M240i Auto,2,"19,774 miles",2018 reg,Auto,Petrol,"£21,300"
BMW,2 Series,2.0,230i M Sport Auto,2,"48,740 miles",2016 reg,Auto,Petrol,"£15,850"
BMW,2 Series,3.0,M240i Auto,2,"36,462 miles",2019 reg,Auto,Petrol,"£22,050"
BMW,2 Series,3.0,M240i Auto,2,"19,093 miles",2019 reg,Auto,Petrol,"£22,550"
BMW,2 Series,2.0,220d M Sport Auto,2,"25,655 miles",2017 reg,Auto,Diesel,"£16,550"
BMW,1 Series,3.0,M140i Shadow Edition Auto,2,"35,708 miles",2019 reg,Auto,Petrol,"was £22,350£21,950"
BMW,2 Series,2.0,220d M Sport Auto,2,"35,162 miles",2017 reg,Auto,Diesel,"£17,050"
BMW,1 Series,3.0,M135i Auto,2,"24,935 miles",2016 reg,Auto,Petrol,"was £18,100£17,750"
BMW,2 Series,3.0,M240i Auto,2,"39,761 miles",2016 reg,Auto,Petrol,"£19,100"
BMW,2 Series,3.0,M240i Auto,2,"33,989 miles",2016 reg,Auto,Petrol,"£19,500"
BMW,6 Series,3.0,640d M Sport Auto,2,"44,754 miles",2017 reg,Auto,Diesel,"£21,300"
BMW,4 Series,3.0,430d M Sport Auto,2,"19,879 miles",2017 reg,Auto,Diesel,"£21,500"
BMW,6 Series,3.0,640d M Sport Auto,2,"48,658 miles",2017 reg,Auto,Diesel,"£21,650"
Fiat,500,1.2,Lounge,2,"36,651 miles",2018 reg,Manual,Petrol,"£7,950"
Fiat,500,1.2,Lounge,2,"42,568 miles",2018 reg,Manual,Petrol,"£7,900"
