make,model,engine_size,trim,num_doors,mileage,reg_year,transmission_type,fuel_type,price,is_electric
BMW,1 Series,1.5,116d Sport,2,65221,2016,Manual,Diesel,9400,0
BMW,1 Series,2.0,120d M Sport,2,77873,2015,Manual,Diesel,9950,0
BMW,1 Series,1.5,118i Sport,2,57371,2016,Manual,Petrol,10050,0
BMW,1 Series,2.0,118d M Sport,2,71342,2016,Manual,Diesel,10450,0
BMW,1 Series,1.5,118i M Sport,2,77767,2017,Manual,Petrol,11000,0
BMW,1 Series,1.5,118i M Sport Shadow Edition,2,40565,2019,Manual,Petrol,14900,0
BMW,2 Series,1.5,218i Sport Auto,2,68551,2016,Auto,Petrol,11500,0
BMW,1 Series,1.5,116d M Sport,2,40044,2016,Manual,Diesel,12200,0
BMW,2 Series,2.0,220d Sport Auto,2,67113,2016,Auto,Diesel,12050,0
BMW,1 Series,1.5,118i M Sport,2,45954,2016,Manual,Petrol,12150,0
BMW,1 Series,1.5,116d M Sport,2,60106,2018,Manual,Diesel,12150,0
BMW,2 Series,1.5,218i Sport Auto,2,52663,2016,Auto,Petrol,12700,0
BMW,1 Series,1.6,120i Sport Auto,2,37360,2016,Auto,Petrol,13250,0
BMW,1 Series,2.0,118d Sport,2,29395,2018,Manual,Diesel,13550,0
BMW,2 Series,1.5,218i Sport Auto,2,30934,2015,Auto,Petrol,13400,0
BMW,2 Series,2.0,218i M Sport Auto,2,14411,2021,Auto,Petrol,19600,0
BMW,4 Series,2.0,420i M Sport Auto,2,28949,2017,Auto,Petrol,17650,0
BMW,1 Series,1.5,118i Sport Auto,2,36599,2018,Auto,Petrol,13800,0
BMW,4 Series,3.0,430d M Sport Auto,2,88216,2016,Auto,Diesel,13850,0
BMW,2 Series,2.0,228i M Sport Auto,2,55000,2016,Auto,Petrol,13950,0
BMW,1 Series,2.0,118d M Sport Auto,2,36389,2016,Auto,Diesel,14450,0
BMW,4 Series,2.0,420i M Sport Auto xDrive,2,68724,2016,Auto,Petrol,14400,0
BMW,4 Series,2.0,420d M Sport,2,58207,2017,Manual,Diesel,14750,0
BMW,4 Series,2.0,420i M Sport Auto xDrive,2,76612,2017,Auto,Petrol,15100,0
BMW,4 Series,3.0,435d M Sport Auto xDrive,2,84615,2018,Auto,Diesel,19450,0
BMW,2 Series,3.0,M240i Auto,2,19774,2018,Auto,Petrol,21300,0
BMW,2 Series,1.5,218i M Sport Auto,2,28856,2017,Auto,Petrol,15800,0
BMW,2 Series,2.0,230i M Sport Auto,2,48740,2016,Auto,Petrol,15850,0
BMW,2 Series,3.0,M240i Auto,2,36462,2019,Auto,Petrol,21900,0
