make,model,engine_size,trim,mileage,transmission_type,reg_year,fuel_type,price
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav 5dr,"37,446",Manual,2020,Petrol,"£9,999"
Peugeot,3008,1.8,1.2 PureTech Allure 5dr,"27,062",Manual,2020,Petrol,"£16,999"
Renault,Kadjar,1.8,1.3 TCE Iconic 5dr EDC,"28,272",Manual,2020,Petrol,"£13,999"
Seat,Ibiza,1.8,1.0 TSI 110 FR [EZ] 5dr,"7,381",Manual,2021,Petrol,"£15,499"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"39,715",Manual,2020,Petrol,"£9,999"
Ford,Fiesta,1.8,1.0 EcoBoost 125 Titanium 5dr,"44,053",Manual,2020,Petrol,"£9,999"
Volkswagen,Golf,1.8,1.5 TSI 150 Style Edition 5dr,"11,941",Manual,2023,Petrol,"£21,399"
Vauxhall,Crossland X,1.8,1.2 [83] Sport 5dr [Start Stop],"36,959",Manual,2019,Petrol,"£9,599"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr DCT,"13,252",Manual,2023,Petrol,"£21,999"
Ford,Fiesta,1.8,1.0 EcoBoost 125 ST-Line X Edn 5dr Auto [7 Speed],"13,772",Manual,2020,Petrol,"£14,999"
Mercedes-Benz,CLA,1.8,CLA 180 AMG Line Premium 4dr Tip Auto,"3,838",Manual,2022,Petrol,"£28,599"
Nissan,Qashqai,1.8,1.3 DiG-T 160 Acenta Premium 5dr,"9,070",Manual,2019,Petrol,"£13,999"
Seat,Arona,1.8,1.0 TSI 110 SE Technology 5dr DSG,"10,530",Manual,2022,Petrol,"£15,699"
Audi,A3,1.8,35 TFSI S Line 5dr,"10,226",Manual,2022,Petrol,"£24,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI PHEV Excite 5dr Auto,"11,694",Manual,2021,Petrol/PlugIn,"£19,999"
Skoda,Fabia,1.8,1.0 TSI 110 SE L 5dr,"14,581",Manual,2019,Petrol,"£12,599"
Vauxhall,Crossland X,1.8,1.2T [130] Elite 5dr [Start Stop],"43,080",Manual,2020,Petrol,"£9,999"
Volkswagen,Polo,1.8,1.0 TSI 95 Match 5dr,"18,732",Manual,2020,Petrol,"£13,599"
Ford,Fiesta,1.8,1.1 Trend Navigation 5dr,"36,603",Manual,2019,Petrol,"£9,699"
Toyota,C-Hr,1.8,1.2T Icon 5dr,"8,867",Manual,2019,Petrol,"£14,999"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"49,684",Manual,2020,Petrol,"£9,999"
BMW,3 Series,1.8,330e M Sport 5dr Step Auto,"13,886",Manual,2022,Petrol/PlugIn,"£37,999"
Volkswagen,Passat,1.8,2.0 TDI EVO SCR SE Nav 4dr DSG,"28,781",Manual,2020,Diesel,"£17,699"
Mercedes-Benz,A Class,1.8,A180 AMG Line 5dr Auto,"26,764",Manual,2019,Petrol,"£17,999"
Dacia,Sandero Stepway,1.8,0.9 TCe SE Twenty 5dr,"7,022",Manual,2020,Petrol,"£11,999"
Vauxhall,Corsa,1.8,1.4 [75] Griffin 5dr,"27,008",Manual,2019,Petrol,"£9,599"
Vauxhall,Corsa,1.8,1.2 Turbo SRi Premium 5dr,"40,967",Manual,2020,Petrol,"£9,999"
BMW,3 Series,1.8,320i M Sport 4dr Step Auto [Pro Pack],"18,479",Manual,2022,Petrol,"£29,999"
Volvo,Xc60,1.8,2.0 B4P Plus Dark 5dr Geartronic,"7,998",Manual,2023,Petrol,"£39,699"
